"MTU (CET/CEST)","Area","Sequence","Day-ahead Price [EUR/MWh]","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|NL","Without sequence","79.6","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|NL","Without sequence","90.0","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|NL","Without sequence","116.87","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|NL","Without sequence","141.0","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|NL","Without sequence","129.16","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|NL","Without sequence","113.65","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|NL","Without sequence","106.48","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|NL","Without sequence","99.38","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|NL","Without sequence","99.0","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|NL","Without sequence","105.98","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|NL","Without sequence","117.31","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|NL","Without sequence","132.62","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|NL","Without sequence","147.06","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|NL","Without sequence","136.7","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|NL","Without sequence","132.31","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|NL","Without sequence","117.88","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|NL","Without sequence","107.19","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|NL","Without sequence","100.0","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|NL","Without sequence","81.0","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|NL","Without sequence","82.12","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|NL","Without sequence","80.63","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|NL","Without sequence","83.13","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|NL","Without sequence","77.29","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|NL","Without sequence","78.0","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|NL","Without sequence","79.18","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|NL","Without sequence","81.32","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|NL","Without sequence","118.2","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|NL","Without sequence","140.74","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|NL","Without sequence","134.96","",""
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","BZN|NL","Without sequence","122.01","",""
"12/01/2024 11:00:00 - 12/01/2024 12:00:00","BZN|NL","Without sequence","114.73","",""
"12/01/2024 12:00:00 - 12/01/2024 13:00:00","BZN|NL","Without sequence","106.98","",""
"12/01/2024 13:00:00 - 12/01/2024 14:00:00","BZN|NL","Without sequence","103.08","",""
